[7002 ms] Avg: 21.86 C | Raw: 21.45 C | MV: 2946 | Thr: 28.00 C | Mode: NORMAL | LED: OFF | DriftRef: *0.00 C | LastMin: 0.00 C | Ctrl: 0/1440 | Env: TRANS | ADC_ERR: 0 | Q_OVR: 0
[8002 ms] Avg: 21.85 C | Raw: 21.45 C | MV: 2946 | Thr: 28.00 C | Mode: NORMAL | LED: OFF | DriftRef: *0.00 C | LastMin: 0.00 C | Ctrl: 0/1440 | Env: TRANS | ADC_ERR: 0 | Q_OVR: 0
[9002 ms] Avg: 21.85 C | Raw: 22.15 C | MV: 2953 | Thr: 28.00 C | Mode: NORMAL | LED: OFF | DriftRef: *0.00 C | LastMin: 0.00 C | Ctrl: 0/1440 | Env: TRANS | ADC_ERR: 0 | Q_OVR: 0
[10002 ms] Avg: 21.86 C | Raw: 21.75 C | MV: 2949 | Thr: 28.00 C | Mode: NORMAL | LED: OFF | DriftRef: *0.00 C | LastMin: 0.00 C | Ctrl: 0/1440 | Env: TRANS | ADC_ERR: 0 | Q_OVR: 0
[11002 ms] Avg: 21.87 C | Raw: 22.45 C | MV: 2956 | Thr: 28.00 C | Mode: NORMAL | LED: OFF | DriftRef: *0.00 C | LastMin: 0.00 C | Ctrl: 0/1440 | Env: TRANS | ADC_ERR: 0 | Q_OVR: 0
[12002 ms] Avg: 21.86 C | Raw: 21.45 C | MV: 2946 | Thr: 28.00 C | Mode: NORMAL | LED: OFF | DriftRef: *0.00 C | LastMin: 0.00 C | Ctrl: 0/1440 | Env: TRANS | ADC_ERR: 0 | Q_OVR: 0
[13002 ms] Avg: 21.87 C | Raw: 22.15 C | MV: 2953 | Thr: 28.00 C | Mode: NORMAL | LED: OFF | DriftRef: *0.00 C | LastMin: 0.00 C | Ctrl: 0/1440 | Env: TRANS | ADC_ERR: 0 | Q_OVR: 0
[14002 ms] Avg: 21.88 C | Raw: 22.15 C | MV: 2953 | Thr: 28.00 C | Mode: NORMAL | LED: OFF | DriftRef: *0.00 C | LastMin: 0.00 C | Ctrl: 0/1440 | Env: TRANS | ADC_ERR: 0 | Q_OVR: 0
[15002 ms] Avg: 21.88 C | Raw: 22.15 C | MV: 2953 | Thr: 28.00 C | Mode: NORMAL | LED: OFF | DriftRef: *0.00 C | LastMin: 0.00 C | Ctrl: 0/1440 | Env: TRANS | ADC_ERR: 0 | Q_OVR: 0
[16002 ms] Avg: 21.87 C | Raw: 21.75 C | MV: 2949 | Thr: 28.00 C | Mode: NORMAL | LED: OFF | DriftRef: *0.00 C | LastMin: 0.00 C | Ctrl: 0/1440 | Env: TRANS | ADC_ERR: 0 | Q_OVR: 0
[17002 ms] Avg: 21.88 C | Raw: 21.45 C | MV: 2946 | Thr: 28.00 C | Mode: NORMAL | LED: OFF | DriftRef: *0.00 C | LastMin: 0.00 C | Ctrl: 0/1440 | Env: TRANS | ADC_ERR: 0 | Q_OVR: 0
[18002 ms] Avg: 21.89 C | Raw: 22.15 C | MV: 2953 | Thr: 28.00 C | Mode: NORMAL | LED: OFF | DriftRef: *0.00 C | LastMin: 0.00 C | Ctrl: 0/1440 | Env: TRANS | ADC_ERR: 0 | Q_OVR: 0
[19002 ms] Avg: 21.90 C | Raw: 22.15 C | MV: 2953 | Thr: 28.00 C | Mode: NORMAL | LED: OFF | DriftRef: *0.00 C | LastMin: 0.00 C | Ctrl: 0/1440 | Env: TRANS | ADC_ERR: 0 | Q_OVR: 0
[20002 ms] Avg: 21.90 C | Raw: 21.75 C | MV: 2949 | Thr: 28.00 C | Mode: NORMAL | LED: OFF | DriftRef: *0.00 C | LastMin: 0.00 C | Ctrl: 0/1440 | Env: TRANS | ADC_ERR: 0 | Q_OVR: 0
Drift mode -> demo (3 controlled minute(s) required)
Drift tracking reset [demo]
[21002 ms] Avg: 21.91 C | Raw: 21.45 C | MV: 2946 | Thr: 28.00 C | Mode: NORMAL | LED: OFF | DriftRef: D:*0.00 C | LastMin: 0.00 C | Ctrl: 0/3 | Env: TRANS | ADC_ERR: 0 | Q_OVR: 0
[22002 ms] Avg: 21.90 C | Raw: 22.15 C | MV: 2953 | Thr: 28.00 C | Mode: NORMAL | LED: OFF | DriftRef: D:*0.00 C | LastMin: 0.00 C | Ctrl: 0/3 | Env: TRANS | ADC_ERR: 0 | Q_OVR: 0
[23002 ms] Avg: 21.91 C | Raw: 22.15 C | MV: 2953 | Thr: 28.00 C | Mode: NORMAL | LED: OFF | DriftRef: D:*0.00 C | LastMin: 0.00 C | Ctrl: 0/3 | Env: TRANS | ADC_ERR: 0 | Q_OVR: 0
[24002 ms] Avg: 21.91 C | Raw: 22.15 C | MV: 2953 | Thr: 28.00 C | Mode: NORMAL | LED: OFF | DriftRef: D:*0.00 C | LastMin: 0.00 C | Ctrl: 0/3 | Env: TRANS | ADC_ERR: 0 | Q_OVR: 0
[25002 ms] Avg: 21.91 C | Raw: 21.05 C | MV: 2942 | Thr: 28.00 C | Mode: NORMAL | LED: OFF | DriftRef: D:*0.00 C | LastMin: 0.00 C | Ctrl: 0/3 | Env: TRANS | ADC_ERR: 0 | Q_OVR: 0
[26002 ms] Avg: 21.91 C | Raw: 22.15 C | MV: 2953 | Thr: 28.00 C | Mode: NORMAL | LED: OFF | DriftRef: D:*0.00 C | LastMin: 0.00 C | Ctrl: 0/3 | Env: TRANS | ADC_ERR: 0 | Q_OVR: 0
[27002 ms] Avg: 21.92 C | Raw: 21.75 C | MV: 2949 | Thr: 28.00 C | Mode: NORMAL | LED: OFF | DriftRef: D:*0.00 C | LastMin: 0.00 C | Ctrl: 0/3 | Env: TRANS | ADC_ERR: 0 | Q_OVR: 0
[28002 ms] Avg: 21.92 C | Raw: 22.15 C | MV: 2953 | Thr: 28.00 C | Mode: NORMAL | LED: OFF | DriftRef: D:*0.00 C | LastMin: 0.00 C | Ctrl: 0/3 | Env: TRANS | ADC_ERR: 0 | Q_OVR: 0
[29002 ms] Avg: 21.91 C | Raw: 21.45 C | MV: 2946 | Thr: 28.00 C | Mode: NORMAL | LED: OFF | DriftRef: D:*0.00 C | LastMin: 0.00 C | Ctrl: 0/3 | Env: TRANS | ADC_ERR: 0 | Q_OVR: 0
[30002 ms] Avg: 21.91 C | Raw: 22.45 C | MV: 2956 | Thr: 28.00 C | Mode: NORMAL | LED: OFF | DriftRef: D:*0.00 C | LastMin: 0.00 C | Ctrl: 0/3 | Env: TRANS | ADC_ERR: 0 | Q_OVR: 0
[31002 ms] Avg: 21.91 C | Raw: 22.15 C | MV: 2953 | Thr: 28.00 C | Mode: NORMAL | LED: OFF | DriftRef: D:*0.00 C | LastMin: 0.00 C | Ctrl: 0/3 | Env: TRANS | ADC_ERR: 0 | Q_OVR: 0
[32002 ms] Avg: 21.91 C | Raw: 22.15 C | MV: 2953 | Thr: 28.00 C | Mode: NORMAL | LED: OFF | DriftRef: D:*0.00 C | LastMin: 0.00 C | Ctrl: 0/3 | Env: TRANS | ADC_ERR: 0 | Q_OVR: 0
[33002 ms] Avg: 21.91 C | Raw: 22.15 C | MV: 2953 | Thr: 28.00 C | Mode: NORMAL | LED: OFF | DriftRef: D:*0.00 C | LastMin: 0.00 C | Ctrl: 0/3 | Env: TRANS | ADC_ERR: 0 | Q_OVR: 0
[34002 ms] Avg: 21.92 C | Raw: 21.75 C | MV: 2949 | Thr: 28.00 C | Mode: NORMAL | LED: OFF | DriftRef: D:*0.00 C | LastMin: 0.00 C | Ctrl: 0/3 | Env: TRANS | ADC_ERR: 0 | Q_OVR: 0
[35002 ms] Avg: 21.92 C | Raw: 21.45 C | MV: 2946 | Thr: 28.00 C | Mode: NORMAL | LED: OFF | DriftRef: D:*0.00 C | LastMin: 0.00 C | Ctrl: 0/3 | Env: TRANS | ADC_ERR: 0 | Q_OVR: 0
[36002 ms] Avg: 21.92 C | Raw: 22.15 C | MV: 2953 | Thr: 28.00 C | Mode: NORMAL | LED: OFF | DriftRef: D:*0.00 C | LastMin: 0.00 C | Ctrl: 0/3 | Env: TRANS | ADC_ERR: 0 | Q_OVR: 0
[37002 ms] Avg: 21.92 C | Raw: 22.15 C | MV: 2953 | Thr: 28.00 C | Mode: NORMAL | LED: OFF | DriftRef: D:*0.00 C | LastMin: 0.00 C | Ctrl: 0/3 | Env: TRANS | ADC_ERR: 0 | Q_OVR: 0
[38002 ms] Avg: 21.92 C | Raw: 22.15 C | MV: 2953 | Thr: 28.00 C | Mode: NORMAL | LED: OFF | DriftRef: D:*0.00 C | LastMin: 0.00 C | Ctrl: 0/3 | Env: TRANS | ADC_ERR: 0 | Q_OVR: 0
[39002 ms] Avg: 21.93 C | Raw: 22.15 C | MV: 2953 | Thr: 28.00 C | Mode: NORMAL | LED: OFF | DriftRef: D:*0.00 C | LastMin: 0.00 C | Ctrl: 0/3 | Env: TRANS | ADC_ERR: 0 | Q_OVR: 0
[40002 ms] Avg: 21.92 C | Raw: 21.45 C | MV: 2946 | Thr: 28.00 C | Mode: NORMAL | LED: OFF | DriftRef: D:*0.00 C | LastMin: 0.00 C | Ctrl: 0/3 | Env: TRANS | ADC_ERR: 0 | Q_OVR: 0
[41002 ms] Avg: 21.92 C | Raw: 22.15 C | MV: 2953 | Thr: 28.00 C | Mode: NORMAL | LED: OFF | DriftRef: D:*0.00 C | LastMin: 0.00 C | Ctrl: 0/3 | Env: TRANS | ADC_ERR: 0 | Q_OVR: 0
[42002 ms] Avg: 21.92 C | Raw: 22.15 C | MV: 2953 | Thr: 28.00 C | Mode: NORMAL | LED: OFF | DriftRef: D:*0.00 C | LastMin: 0.00 C | Ctrl: 0/3 | Env: TRANS | ADC_ERR: 0 | Q_OVR: 0
[43002 ms] Avg: 21.92 C | Raw: 22.45 C | MV: 2956 | Thr: 28.00 C | Mode: NORMAL | LED: OFF | DriftRef: D:*0.00 C | LastMin: 0.00 C | Ctrl: 0/3 | Env: TRANS | ADC_ERR: 0 | Q_OVR: 0
[44002 ms] Avg: 21.92 C | Raw: 21.75 C | MV: 2949 | Thr: 28.00 C | Mode: NORMAL | LED: OFF | DriftRef: D:*0.00 C | LastMin: 0.00 C | Ctrl: 0/3 | Env: TRANS | ADC_ERR: 0 | Q_OVR: 0
[45002 ms] Avg: 21.92 C | Raw: 21.75 C | MV: 2949 | Thr: 28.00 C | Mode: NORMAL | LED: OFF | DriftRef: D:*0.00 C | LastMin: 0.00 C | Ctrl: 0/3 | Env: TRANS | ADC_ERR: 0 | Q_OVR: 0
[46002 ms] Avg: 21.92 C | Raw: 21.75 C | MV: 2949 | Thr: 28.00 C | Mode: NORMAL | LED: OFF | DriftRef: D:*0.00 C | LastMin: 0.00 C | Ctrl: 0/3 | Env: TRANS | ADC_ERR: 0 | Q_OVR: 0
[47002 ms] Avg: 21.92 C | Raw: 21.75 C | MV: 2949 | Thr: 28.00 C | Mode: NORMAL | LED: OFF | DriftRef: D:*0.00 C | LastMin: 0.00 C | Ctrl: 0/3 | Env: TRANS | ADC_ERR: 0 | Q_OVR: 0
[48002 ms] Avg: 21.91 C | Raw: 21.45 C | MV: 2946 | Thr: 28.00 C | Mode: NORMAL | LED: OFF | DriftRef: D:*0.00 C | LastMin: 0.00 C | Ctrl: 0/3 | Env: TRANS | ADC_ERR: 0 | Q_OVR: 0
[49002 ms] Avg: 21.92 C | Raw: 21.75 C | MV: 2949 | Thr: 28.00 C | Mode: NORMAL | LED: OFF | DriftRef: D:*0.00 C | LastMin: 0.00 C | Ctrl: 0/3 | Env: TRANS | ADC_ERR: 0 | Q_OVR: 0
