model_variant,pc_accuracy_on_original_test_pct,pc_accuracy_on_personalised_test_pct,quant_accuracy_on_original_test_pct,quant_accuracy_on_personalised_test_pct,personal_repetition_accuracy_pct,personal_consistency_pct
baseline_original,93.73,91.96,93.82,91.87,52.17,53.08
baseline_personalised,91.91,90.65,91.82,90.3,95.65,96.16
